mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.684263088960802e-05,8.684263088960802e-05,0,1,0,[],4,1,5
2,2,10,6.300913663424805,3.1504568317124026,0,1,1508,12,4,1,5
2,3,10,6.358471380221512,2.119490460073837,0,1,1508,12,4,1,5
2,4,10,6.4348285529096625,1.6087071382274156,0,1,1508,12,4,1,5
2,5,9,6.5104755897206745,1.302095117944135,-1,15,1508,12,0,1,5
2,6,9,10.588491061919585,1.764748510319931,-1,15,889,165,0,1,5
