mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.578990249550096e-05,7.578990249550096e-05,0,8,25,1,5
1,2,10,0.04999094073821729,0.024995470369108645,0,8,21,1,5
1,3,10,0.1536904748276865,0.0512301582758955,0,8,21,1,5
1,4,10,0.2234633695953806,0.05586584239884515,0,7,13,1,5
1,5,10,0.29645299308930306,0.05929059861786061,0,6,6,1,5
1,6,10,0.3676765539594501,0.06127942565990835,0,5,0,1,5
1,7,10,0.4387647193267016,0.0626806741895288,0,4,0,1,5
1,8,10,0.5146975173675327,0.06433718967094158,0,3,0,1,5
1,9,10,0.6466690535222764,0.07185211705803071,0,2,0,1,5
1,10,10,0.7904002614751636,0.07904002614751636,0,1,0,1,5
1,11,10,0.8847993482068385,0.08043630438243986,0,1,0,1,5
1,12,9,1.0254748809763004,0.08545624008135837,2,1,0,1,5
1,13,9,1.194511626842099,0.09188550975708454,2,2,0,1,5
1,14,9,1.3106051784240358,0.09361465560171685,2,1,0,1,5
1,15,9,1.4753262419774216,0.09835508279849477,2,1,1,1,5
1,16,9,1.6320538392519857,0.1020033649532491,2,1,1,1,5
1,17,8,1.7470144896872442,0.10276555821689672,1,1,2,1,5
1,18,8,1.960325564999907,0.10890697583332816,1,9,2,1,5
1,19,8,2.2592630458303904,0.11890858135949423,1,6,1,1,5
1,20,8,2.4037205736821927,0.12018602868410963,1,3,2,1,5
1,21,8,2.65451686108224,0.12640556481343998,1,3,2,1,5
1,22,8,2.9044936701615547,0.13202243955279794,1,3,2,1,5
1,23,8,3.0505767335262557,0.13263377102288068,1,2,3,1,5
1,24,8,3.234859881444066,0.13478582839350275,1,1,4,1,5
1,25,8,3.3694647219714535,0.13477858887885813,1,1,4,1,5
1,26,7,3.684190976343682,0.14169965293629547,3,1,4,1,5
1,27,7,3.9468018042733664,0.14617784460271727,3,3,4,1,5
1,28,7,4.116495790699869,0.1470177068107096,3,2,0,1,5
1,29,7,4.2647033397688965,0.14705873585409987,3,1,0,1,5
1,30,7,4.495861752902023,0.14986205843006745,3,1,0,1,5
1,31,7,4.6927781301920515,0.15137993968361457,3,1,4,1,5
1,32,6,4.883676315537048,0.15261488486053276,5,1,4,1,5
1,33,6,5.10623139051971,0.15473428456120333,5,1,4,1,5
1,34,6,5.293957847393084,0.15570464257038483,5,1,4,1,5
1,35,6,5.501810865508846,0.1571945961573956,5,1,4,1,5
1,36,6,5.680020952750128,0.15777835979861468,5,3,4,1,5
1,37,6,5.9842953058813375,0.16173771096976589,5,3,5,1,5
1,38,6,6.26341175351387,0.16482662509247026,5,3,4,1,5
1,39,6,6.444552383651645,0.16524493291414474,5,6,3,1,5
1,40,6,6.7101727022929225,0.16775431755732306,5,6,1,1,5
1,41,6,6.9399858446567535,0.16926794743065252,5,3,2,1,5
1,42,6,7.1184347490387125,0.16948654164377888,5,3,2,1,5
1,43,6,7.401572798372413,0.17212959996214916,5,3,2,1,5
1,44,6,7.606481852463112,0.17287458755597981,5,2,3,1,5
1,45,6,7.922071795932528,0.17604603990961173,5,1,4,1,5
1,46,6,8.15808747338965,0.1773497276823837,5,1,4,1,5
1,47,5,8.456972059184015,0.17993557572731947,7,1,4,1,5
1,48,5,8.696489466979873,0.18117686389541401,7,5,4,1,5
1,49,5,8.834121956216325,0.18028820318808828,7,5,7,1,5
1,50,5,9.10779495199775,0.182155899039955,7,4,7,1,5
1,51,5,9.311799658866487,0.18258430703659778,7,3,7,1,5
1,52,5,9.550332192668979,0.18366023447440344,7,2,7,1,5
1,53,5,9.941144009104256,0.18756875488875954,7,1,7,1,5
1,54,5,10.141394747365013,0.18780360643268543,7,1,7,1,5
1,55,4,10.322153664816785,0.187675521178487,8,1,9,1,5
1,56,4,10.53753633079766,0.1881702916213868,8,8,9,1,5
1,57,4,10.859163018948657,0.19051163191137993,8,4,3,1,5
1,58,4,11.089667744172761,0.19120116800297865,8,4,4,1,5
1,59,4,11.419843691220883,0.19355667273255733,8,4,4,1,5
1,60,4,11.700208698549215,0.19500347830915357,8,3,3,1,5
1,61,4,11.894343349574214,0.19498923523892153,8,2,5,1,5
1,62,4,12.184008409521262,0.19651626466969777,8,2,5,1,5
1,63,4,12.362287576100755,0.1962267869222342,8,2,4,1,5
1,64,4,12.531095373302765,0.1957983652078557,8,2,3,1,5
1,65,4,12.804582052240555,0.19699357003447007,8,2,10,1,5
1,66,4,13.065913136087477,0.19796838084981028,8,1,5,1,5
1,67,4,13.299148271496797,0.1984947503208477,8,1,5,1,5
1,68,4,13.481959832141154,0.1982641151785464,8,1,8,1,5
1,69,4,13.725440814994084,0.19891943210136354,8,1,8,1,5
1,70,3,13.882667757199151,0.19832382510284502,7,1,6,1,5
1,71,3,14.034806512721055,0.1976733311650853,7,1,6,1,5
1,72,3,14.19590781895213,0.19716538637433512,7,1,6,1,5
1,73,3,14.484748663709542,0.19842121457136358,7,2,6,1,5
1,74,3,14.667013510734332,0.19820288528019367,7,3,6,1,5
1,75,3,14.891383595986131,0.19855178127981507,7,2,9,1,5
1,76,3,15.100546358354396,0.19869139945203154,7,1,5,1,5
1,77,3,15.32409933371991,0.19901427706129754,7,1,7,1,5
1,78,3,15.559423033577684,0.19947978248176518,7,1,8,1,5
1,79,2,15.764718931962374,0.19955340420205536,8,1,8,1,5
1,80,2,15.922200480871137,0.1990275060108892,8,3,8,1,5
1,81,2,16.20528287199519,0.20006522064191595,8,2,8,1,5
1,82,2,16.47961113464194,0.2009708674956334,8,1,8,1,5
