mode,total_stepcount,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,0,0,0,1,0,[],16,1,6
2,2,1.831483125496631,1.831483125496631,0,1,645,18,16,1,6
2,3,1.8316011524802047,0.9158005762401024,0,1,645,18,17,1,6
2,4,1.8319544439527748,0.6106514813175916,0,1,645,18,17,1,6
2,5,1.832106813235917,0.45802670330897927,0,1,645,18,12,1,6
2,6,1.832747869494525,0.36654957389890497,0,1,645,18,7,1,6
2,7,1.833071555536433,0.30551192592273885,2,1,645,18,6,1,6
2,8,3.627069074206605,0.5181527248866579,2,1,613,18,6,1,6
2,9,3.6272297330103322,0.45340371662629153,2,1,613,18,7,1,6
2,10,3.627353681080038,0.403039297897782,2,1,613,18,9,1,6
2,11,3.6274965766253677,0.36274965766253675,2,1,613,18,10,1,6
2,12,3.6276019719585255,0.329781997450775,2,1,613,18,10,1,6
2,13,3.627972237211342,0.30233101976761184,4,3,613,18,12,1,6
2,14,4.628582898561136,0.35604483835085665,4,3,320,45,12,1,6
2,15,4.628736452061505,0.33062403229010745,4,2,320,45,10,1,6
2,16,4.628887242388344,0.3085924828258896,4,1,320,45,6,1,6
2,17,4.628988295591672,0.2893117684744795,4,1,320,45,6,1,6
2,18,4.6291244805727185,0.27230144003368933,4,1,320,45,5,1,6
2,19,4.629223954819744,0.2571791086010969,4,1,320,45,4,1,6
2,20,4.629373955668433,0.24365126082465435,4,1,320,45,4,1,6
2,21,4.629481719436043,0.23147408597180216,4,2,320,45,4,1,6
2,22,4.62957764103139,0.22045607814435192,4,1,320,45,7,1,6
2,23,4.6296727731485845,0.21043967150675383,4,1,320,45,8,1,6
2,24,4.629981853844699,0.20130355886281298,5,1,320,45,8,1,6
2,25,4.6372292632708305,0.19321788596961795,5,1,3,9,8,1,6
2,26,4.6373283427787815,0.18549313371115125,5,1,3,9,6,1,6
2,27,4.637619265477424,0.1783699717491317,6,1,3,9,7,1,6
2,28,5.060299156955757,0.18741848729465768,6,1,132,30,7,1,6
2,29,5.0605841585682665,0.18073514852029524,6,1,132,30,9,1,6
2,30,5.0606946855094055,0.17450671329342776,6,1,132,30,15,1,6
2,31,5.060847844270699,0.16869492814235662,6,1,132,30,15,1,6
2,32,5.060931528954704,0.16325585577273238,6,1,132,30,15,1,6
2,33,5.061087450889525,0.15815898284029767,6,1,132,30,15,1,6
2,34,5.061173109268909,0.15336888209905783,6,1,132,30,15,1,6
2,35,5.0612832414709725,0.1488612718079698,6,1,132,30,16,1,6
2,36,5.061358636634392,0.1446102467609826,6,1,132,30,9,1,6
2,37,5.061659427809921,0.1406016507724978,5,1,132,30,2,1,6
